Time Step,Queue 0 PRBs,Queue 1 PRBs,Queue 2 PRBs
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,16,16,50
27,12,16,37
28,0,16,16
29,-42,16,16
30,71,16,16
31,16,16,16
32,16,16,-6
33,16,16,-17
34,16,16,-55
35,16,16,-144
36,16,16,974
37,16,16,-11
38,16,16,-37
39,16,16,-262
40,16,16,230
41,16,16,158
42,16,16,228
43,16,16,16
44,16,16,16
45,16,16,327
46,16,16,16
47,16,16,16
48,-1,16,16
49,-6,16,16
50,-14,16,16
51,-34,16,16
52,-128,16,16
53,169,16,16
54,16,16,16
55,16,16,16
56,16,16,-2
57,16,16,-10
58,16,16,-21
59,16,16,-47
60,16,16,-154
61,16,16,-1728
62,16,16,155
63,16,16,16
64,16,16,16
65,16,16,16
66,16,16,16
67,16,16,16
68,16,16,16
69,16,16,16
70,-3,16,16
71,-13,16,16
72,-26,16,16
73,-78,16,16
74,-1729,16,16
75,243,16,16
76,16,16,16
77,-11,16,16
78,-40,16,16
79,1417,16,16
80,16,16,16
81,16,16,-2
82,16,16,-9
83,16,-2,-20
84,16,-9,-43
85,16,-1033,-5776
86,16,28,139
87,16,16,16
88,16,16,16
89,16,16,16
90,0,16,16
91,-1,16,16
92,-6,-2,16
93,-8,-2,16
94,-13,-4,16
95,-19,-7,16
96,-29,-13,16
97,-43,-19,16
98,-95,-43,16
99,-364,-196,16
100,542,291,16
101,16,16,16
102,16,16,16
103,16,16,16
104,16,16,16
105,16,16,16
106,16,16,16
107,16,16,16
108,16,16,16
109,16,16,16
110,16,16,16
111,16,16,16
112,16,16,16
113,16,16,16
114,16,16,16
115,16,16,16
116,16,16,16
117,16,16,16
118,16,16,16
119,16,16,-4
120,16,-27,-41
121,16,225,438
122,16,16,16
123,16,16,-1
124,16,16,-7
125,-7,16,-32
126,-66,16,-143
127,63,16,70
128,16,16,16
129,16,16,16
130,16,16,16
131,16,16,16
132,16,-1,16
133,16,-5,16
134,16,-12,16
135,16,-22,16
136,16,-48,16
137,16,-154,16
138,28,153,16
139,-1,16,16
140,-3,16,16
141,-7,16,16
142,-13,16,16
143,-21,16,16
144,-35,16,16
145,-60,16,-6
146,-111,16,-20
147,-319,16,-59
148,712,16,163
149,16,16,16
150,16,16,16
151,16,16,16
152,16,16,16
153,16,16,16
154,16,16,16
155,16,16,16
156,16,16,0
157,16,16,0
158,16,16,-1
159,16,16,-1
160,16,16,-2
161,16,16,-3
162,16,16,-4
163,16,0,-5
164,16,0,-6
165,16,-2,-7
166,16,-3,-8
167,16,-4,-9
168,16,-5,-11
169,16,-6,-13
170,16,-8,-15
171,16,-10,-17
172,16,-12,-20
173,16,-15,-24
174,16,-17,-28
175,16,-20,-32
176,16,-22,-35
177,16,-28,-44
178,16,-34,-53
179,16,-44,-65
180,16,-58,-83
181,16,-78,-109
182,16,-110,-154
183,16,-156,-212
184,16,-443,-594
185,16,7459,10009
186,16,16,16
187,16,16,16
188,16,16,16
189,16,16,16
190,16,16,16
191,16,16,16
192,16,16,16
193,16,16,16
194,16,16,16
195,16,16,16
196,16,16,16
197,16,16,16
198,16,16,16
199,16,16,16
200,16,16,16
201,16,16,16
202,16,16,16
203,16,16,16
204,16,16,16
205,16,16,16
206,16,16,16
207,16,16,16
208,16,16,16
209,16,16,16
210,16,16,16
211,16,16,16
212,16,16,16
213,16,16,16
